NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT02911090,Endometriosis Pelvic Pain Interdisciplinary Cohort Data Registry,https://clinicaltrials.gov/study/NCT02911090,EPPIC,ENROLLING_BY_INVITATION,"The purpose of this data registry is to prospectively collect data from patients referred to an interdisciplinary clinic for pelvic pain and endometriosis to investigate long-term patient outcomes, prognosis, predictors, causes, and treatment of pelvic pain and endometriosis.",NO,Endometriosis,OTHER: Data Registry,"Patient-reported severity of chronic pelvic pain, Measured on a scale of 0 (no pain) to 10 (worst pain imaginable), 3 months",,,BC Women's Hospital & Health Centre,UBC Department of Obstetrics and Gynaecology|Canadian Institutes of Health Research (CIHR),FEMALE,"CHILD, ADULT, OLDER_ADULT",,5000,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,H16-00264,2016-06,2028-12,2028-12,2016-09-22,,2024-08-07,"BC Women's Hospital & Health Centre, Vancouver, British Columbia, V6H 3N1, Canada",
NCT03970330,Low-Dose Naltrexone in Combination With Standard Treatment in Women With Endometriosis,https://clinicaltrials.gov/study/NCT03970330,,TERMINATED,The purpose of this study is to determine if the addition of Low Dose Naltrexone to standard endometriosis treatments will improve patient reported endometriosis associated pain.,YES,Endometriosis,DRUG: Naltrexone|DRUG: Norethindrone Acetate|DRUG: Placebo,"Pain Score Area Under the Curve (AUC), Pain is reported daily using the Visual Analog Scale, a 100mm horizontal line on which the patient's pain intensity is represented by a point between the extremities of 0 (no pain) and 100 (worst pain). The final outcome measure will be calculated as area under the curve from randomization through 12-weeks of intervention. AUC was calculated using the trapezoid rule. Calculated AUC per subject across this 12-week period can range from 0 - 8300., 12 weeks","EHP-30 Score, Quality of life measured by the validated Endometriosis Health Profile (EHP-30) questionnaire. Scores range from 0 (best health status) to 100 (worst health status)., Baseline, 4, 8, 12, and 16 weeks|PGIC Score (Painful Periods), Patient's Global Impression of Change (PGIC) scale will be used to rate painful periods. This is a 7 point scale ranging from 1 (much worse) to 7 (much better)., 4, 8, 12 and 16 weeks|PGIC Score (Nonmenstrual Pelvic Pain), Patient's Global Impression of Change (PGIC) scale will be used to rate nonmenstrual pelvic pain. This is a 7 point scale ranging from 1 (much worse) to 7 (much better)., 4, 8, 12 and 16 weeks|PGIC Score (Dyspareunia), Patient's Global Impression of Change (PGIC) scale will be used to rate pelvic pain during sex. This is a 7 point scale ranging from 1 (much worse) to 7 (much better)., 4, 8, 12 and 16 weeks|Ibuprofen Use, Average # of ibuprofen 200 mg pills per week during the study treatment period, 12 weeks|Oxycodone Use, Number of subjects who used oxycodone at any time during the study, 12 weeks",,Milton S. Hershey Medical Center,,FEMALE,ADULT,PHASE3,9,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",Study00011187,2020-01-16,2021-06-21,2021-06-21,2019-05-31,2022-11-03,2022-11-03,"Penn State Hershey Medical Center, Hershey, Pennsylvania, 17033, United States","Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/30/NCT03970330/Prot_SAP_000.pdf"
NCT05714189,"The Effect of Dietary Interventions, or no Intervention, on Pain and Quality of Life in Women Diagnosed With Endometriosis",https://clinicaltrials.gov/study/NCT05714189,Dieetstudie,COMPLETED,"This prospective pilot study was performed to explore the influence of a dietary intervention, the Low FODMAP diet or endometriosis diet, on endometriosis-related pain and Quality of Life (QoL). Participants could choose between adherence to a diet; the Low FODMAP diet or endometriosis diet, or to contribute to the control group and not adhere to a diet.",NO,Endometriosis,OTHER: Low FODMAP diet|OTHER: Endometriosis diet,"pain scores, The primary outcome focused on pain scores (in VAS, scale 0-10cm) of the endometriosis-related symptoms dysmenorrhea, deep dyspareunia, chronic pelvic pain, dysuria, dyschezia, tiredness and bloating. Pain scores will be measured on a scale between 0 and 10, where 0 represents no pain at all and 10 the worst pain possible., 6 months","Quality of Life (QoL), Secondary outcome focused on QoL, expressed using the EHP-30 questionnaire. Using the EHP-30, a score between 0 and 100 can be measured for 11 different QoL domains. For every domain, a score of 0 represents best health status through to a score of 100 which represents worst health status., 6 months|Gastro-Intestinal Health, Secondary outcome focused on gastro-intestinal health, expressed using the GIQLI questionnaire. With the GIQLI, a score between 0 and 144 can be calculated where 0 represents worst possible gastro-intestinal health and 144 best possible gastro-intestinal health., 6 months|Adhesion to dietary intervention, with every follow-up visit, women were asked on their dietary adhesion. they were asked how often they made an exception, with what meal (snack/main meal) and what strictness score they gave themselves. Women could score their strictness between 0 and 10 where 0 represented worst possible strictness and 10 best possible strictness, 6 months",,"Amsterdam UMC, location VUmc",,FEMALE,"CHILD, ADULT, OLDER_ADULT",NA,62,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,W20_534 # 20.593,2021-04-01,2022-12-31,2022-12-31,2023-02-06,,2023-02-14,"Amsterdam AMC, Amsterdam, 1081HV, Netherlands",
NCT03212612,Galectin-3 in Patients With Endometriosis,https://clinicaltrials.gov/study/NCT03212612,,UNKNOWN,"The exact cause of endometriosis is unknown ,so our study is to investigate the relationship between Galectin-3 and endometriosis by comparing between its level in healthy and endometriosis women. Also, we will measure the level of oxidative stress markers in endometrium of both healthy and endometriosis women and investigate the correlaton between them and galectin-in endometriosis women.",NO,Endometriosis,DIAGNOSTIC_TEST: samples obtained by laparoscopy or punch biopsy for analysis by ELISA,"To measure the level of Galectin-3 proteins in patients of endometriois and investigate the relationship between Galectin-3 and endometriosis by comparing between its level in healthy and endometriosis women., galectin-3 level will be estimated in both healthy and endometriosis women by ELISA to iinvestigate the role of galectin-3 in etiology of endometriosis, 6 months",,,Assiut University,,FEMALE,ADULT,,90,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,17100222,2017-08,2018-01,2018-04,2017-07-11,,2017-07-11,"Faculty of Medicine - Assiut University, Assiut, Egypt|Faculty of Medicine -Assiut University, Assiut, Egypt|Faculty of Medicine- Assiut University, Assiut, Egypt",
NCT05231239,Transcranial Direct Current Stimulation to Reduce Chronic Pelvic Pain in Endometriosis,https://clinicaltrials.gov/study/NCT05231239,,UNKNOWN,"In the study it will be tested whether transcranial direct current stimulation can reduce the perception of pelvic pain in patients with endometriosis.

Hypothesis: Transcranial direct current stimulation can reduce the perception of pelvic pain in patients with patients with endometriosis.",NO,Endometriosis,DEVICE: tDCS : Transcranial direct current stimulation,"Pelvic pain via pressure pain threshold, pressure pain threshold, 4 weeks",,,"Charite University, Berlin, Germany",,FEMALE,ADULT,PHASE2,40,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",EA1/174/19,2021-01-01,2023-01,2023-01,2022-02-09,,2022-02-09,"Charite University Medicine, Berlin, 12200, Germany",
NCT03633786,Robot-assisted Versus Standard Laparoscopic Approach for the Surgical Treatment of Deep Infiltrating Endometriosis,https://clinicaltrials.gov/study/NCT03633786,,UNKNOWN,"Deep infiltrating endometriosis (DIE) is a severe form of endometriosis in which lesions affect retroperitoneal tissue and pelvic organs wall. It is often a cause of significant pain (dysmenorrhea, dysuria, dyspnea, dyspareunia and chronic pelvic pain) and infertility, drastically reducing patients' quality of life.

Surgical therapy with complete removal of endometriotic lesions is often necessary when the disease is resistant to medical therapy.

The minimally invasive surgical approach has proved to be the most advantageous.

Over time, there has been a growing use in the gynecological field of robot-assisted laparoscopic surgery.

Several clinical cases and retrospective studies on robotic surgery for DIE have highlighted favorable surgical outcomes, with the exception of operative times, compared to standard laparoscopic approach.

However, a randomized control studies comparing surgical outcomes and postoperative pelvic organs function in women with DIE submitted to robotic-assisted or conventional laparoscopy is missing.

In order to analyze the real impact of robotic advances the present study sought to assess surgical outcomes and urinary, bowel and sexual functions in women with DIE requiring minimally invasive surgery through robot-assisted or conventional lps approach.",NO,Endometriosis,PROCEDURE: standard laparoscopic surgery|PROCEDURE: robot-assisted surgery|DIAGNOSTIC_TEST: assessment of sexual function|DIAGNOSTIC_TEST: assessment of bowel symptoms|DIAGNOSTIC_TEST: assessment of urinary symptoms,"Operative time, Evaluation and comparison of operative time in patients underwent standard laparoscopic or robot-assisted surgery, Intraoperative","Length of hospitalization, Evaluation and comparison of the length of hospitalization in patients underwent standard laparoscopic or robot-assisted surgery, Up to 4 days: from the date of surgery until the last day of hospitalization|Change of haemoglobin levels, Evaluation and comparison of the change of haemoglobin levels in patients underwent standard laparoscopic or robot-assisted surgery, 24 hours after surgery|Laparotomic conversion rate, Evaluation and comparison of laparotomic conversion rate in patients underwent standard laparoscopic or robot-assisted surgery, Intraoperative|Evaluation of sexual function, Evaluation and comparison of sexual function in patients underwent standard laparoscopic or robot-assisted surgery before and after surgery, using the Female Sexual Function Index (FSFI). The FSFI is a validated questionnaire useful to measure sexual functioning in women. It was developed for the specific purpose of assessing domains of sexual functioning (e.g. sexual arousal, orgasm, satisfaction, pain) in clinical trials. The full scale score range goes from a minimum of 2.0 to a maximum of 36.0., up to three months after surgery|Evaluation of urinary symptoms, Evaluation and comparison of urinary symptoms in patients underwent standard laparoscopic or robot-assisted surgery before and after surgery, using the Bristol Female Lower Urinary Tract Symptoms (BFLUTS) questionnaire. It is a validated questionnaire with 3 subscale scores for incontinence symptoms (BFLUTS-IS) (range from 0 to 20), voiding symptoms (BFLUTS-VS) (range from 0 to 12), and filling symptoms (BFLUTS-FS) (range from 0 to 15), with the addition of single subscales for sexual function (BFLUTS-sex) (range from 0 to 6) and quality of life (BFLUTSQoL) (range from 0 to 18)., up to three months after surgery|Evaluation of bowel symptoms, Evaluation and comparison of bowel symptoms in patients underwent standard laparoscopic or robot-assisted surgery before and after surgery, using the Knowles-Eccersley-Scott-Symptom Questionnaire (KESS). The KESS is a validated questionnaire for diagnosis of constipation. KESS has an added advantage of differentiating between various subtypes of constipation. Total scores can range from 0 (no symptoms) to 39 (high symptom severity). A cut-off score of \> 11 indicates constipation., up to three months after surgery|Evaluation of disease recurrence rate, Evaluation and comparison of disease recurrence rate in patients underwent standard laparoscopic or robot-assisted surgery before and after surgery.

Endometriosis recurrence can have different levels: symptoms recurrence based on patient history (VAS pain score ≥ 5), but no proof of recurrence by imaging and/or surgery; endometriosis recurrence based on non-invasive imaging in patients with or without symptoms; recurrence of histologically proven endometriosis: when the patient is re-operated, endometriosis is visually observed and confirmed histologically., Up to 12 months after surgery; from date of surgery until the date of first clinical or trans-vaginal/abdominal ultrasound documented recurrence, assessed up to 12 months|Complication rate, Comparison of standard laparoscopy and robot-assisted surgery concerning intraoperative complication rate in patients affected by deep infiltrating endometriosis, Intraoperative|Complication rate, Comparison of standard laparoscopy and robot-assisted surgery concerning complication rate in patients affected by deep infiltrating endometriosis, using Clavien-Dindo Classification., up to three months after surgery; from date of surgery until the date of first documented complication, assessed up to 3 months",,IRCCS Azienda Ospedaliero-Universitaria di Bologna,,FEMALE,ADULT,NA,40,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,VINCENDO-01,2018-09-01,2023-01-01,2024-01-01,2018-08-16,,2022-02-01,"Gynecology and Physiopathology of Human Reproductive Unit, University of Bologna, S. Orsola-Malpighi Hospital, Bologna, BO, 40138, Italy",
NCT03824054,Quality of Life in Patients Undergoing Colorectal Resection for Deep Infiltrating Endometriosis,https://clinicaltrials.gov/study/NCT03824054,ENDO-RESECT,COMPLETED,"The aim of this study is to evaluate the quality of life of patients undergoing colorectal resection for deep infiltrating endometriosis of the bowel. Questionnaires about pre operative status have been submitted retrospectively, while post operative questionnaires have been submitted prospectively during last follow up visit",NO,Endometriosis,PROCEDURE: colorectal resection,"Pre-post colorectal resection-and-anastomosis evaluation of gastrointestinal symptoms (stipsi, dyschezia, regurgitation, nausea and vomit, abdominal distension and belching), Pre-post colorectal-resection-and-anastomosis evaluation (mean difference or percentage variation) of stipsi, dyschezia, regurgitation, nausea and vomit, abdominal distension and belching, through the administration of the GSRS (Gastrointestinal Symptom Rating Scale) to patients. The GSRS is a disease-specific instrument that includes 15 items combined into five-symptom clusters addressing different gastrointestinal symptoms. The five-symptom clusters depict reflux, abdominal pain, indigestion, diarrhoea and constipation. The GSRS has a seven-graded scale where 1 represents absence of bothersome symptoms and 7 represents very bothersome symptoms, from surgery to last follow up visit (which varies from 12 months to a maximum of 157 months)","Pre-post colorectal resection-and-anastomosis evaluation of anxiety, depression, positivity and well-being, self control, general health and vitality, Pre-post colorectal-resection-and-anastomosis evaluation (mean difference or percentage variation) of anxiety, depression, positivity and well-being, self control, general health and vitality, through the administration of the PGWBI (Psychological General Well-Being Index) to patients. The PGWBI is a brief self-administered questionnaire which contains 20 items rated on a six-point scale, where a higher score indicates a better quality of life and measures six mood states (anxiety, depressed mood, positive well-being, self-control, general health, vitality). The six mood states are scored as follows: 25 for anxiety, 20 for positive well-being and vitality and 15 for remaining, from surgery to last follow up visit (which varies from 12 months to a maximum of 157 months)|Pre-post colorectal resection-and-anastomosis evaluation of the coping ability of daily living, Pre-post colorectal-resection-and-anastomosis evaluation (mean difference or percentage variation) of the coping ability of daily living, through the administration of the GSE (General Self-Efficacy Scale) to patients.

The GSE consists of 10 items, with a 4-point Likert scale ranging from 1 (I Completely Disagree) to 4 (I Completely Agree), aimed at identifying, as expressed in the introduction, self-efficacy beliefs in view of difficult situations, from surgery to last follow up visit (which varies from 12 months to a maximum of 157 months)|Pre-post colorectal-resection-and-anastomosis evaluation of patients ability to ""thrive in the face of adversity"", Pre-post colorectal-resection-and-anastomosis evaluation (mean difference or percentage variation) of the ability to ""thrive in the face of adversity"", through the administration of the CD-RISC (Connor-Davidson Resilience Scale) to patients.

The CD-RISC contains 25 items, all of which carry a 5-point range of responses, as follows: not true at all (0), rarely true (1), sometimes true (2), often true (3), and true nearly all of the time (4). The scale is rated based on how the subject has felt over the past month. The total score ranges from 0-100, with higher scores reflecting greater resilience, from surgery to last follow up visit (which varies from 12 months to a maximum of 157 months)|Pre-post colorectal resection-and-anastomosis evaluation of the effects that endometriosis can have on women's lives (includes work and family life, sexual life, fertility issues), Pre-post colorectal resection-and-anastomosis evaluation of the effects that endometriosis can have on women's lives (work and family life, sexual life, fertility issues), through the administration of the EHP-30(Endometriosis Health Profile questionnaire).The EHP-30 consists of a 30-item core questionnaire, covers five subscales (11 items on pain, 6 on control and powerlessness, 6 on emotions, 4 on social support, 3 on self-image), and a second 23-item modular questionnaire contains six subscales (5 items on work life, 2 on relationship with children, 5 on sexual intercourse, 4 on medical profession, 3 on treatment and 4 on infertility). Response categories are rated on a five-point Likert scale (0-4), and items within each subscale are summed to create a raw-score.Each raw scale is translated into a score ranging from 0(best possible health status) to 100 by dividing the total raw scores in each subscale by the maximum possible raw-score within the subscale and multiplying it by 100, from surgery to last follow up visit (which varies from 12 months to a maximum of 157 months)|Pre-post colorectal-resection-and-anastomosis evaluation of the menstrual pain, Pre-post colorectal-resection-and-anastomosis evaluation (mean difference or percentage variation) of the menstrual pain, through the administration of the VAS (Visual Analogic Scale) to patients. The VAS using a 10-cm line represented the continuum of the patient's opinion of the degree of pain. One extremity of the line represented ""unbearable pain,"" and the other extremity represented ""no pain at all."" The participants were asked to rate the degree of pain by making a mark on the line. The scores received from the scale were classified into mild dysmenorrhea if it was between 1 and 3 points moderate between 4 and 7 points, and severe between 8 and 10 points, from surgery to last follow up visit (which varies from 12 months to a maximum of 157 months)|Prevalence of post-operative complications (rectovaginal fistulae, bowel leakage, pelvic abscesses, and postoperative bleeding), Perioperative and post-operative complications were collected using the Extended Clavien-Dindo classification of surgical complications divided in early (within 30 days after surgery onset) and late (over 30 days after surgery onset). Major complications were defined as those requiring surgical, endoscopic, or radiological intervention (grade III or higher according to the Clavien-Dindo classification), and include rectovaginal fistulae, bowel leakage, pelvic abscesses, and postoperative bleeding after surgery. Minor complications were defined as those that could be solved with a conservative approach (Clavien-Dindo grade I and II), from surgery to last follow up visit (which varies from 12 months to a maximum of 157 months)",,Catholic University of the Sacred Heart,,FEMALE,ADULT,,50,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,CICOG-31-10-18\100,2005-10-01,2017-11-30,2018-11-30,2019-01-31,,2019-03-28,"Catholic University of Sacred Heart, Rome, 00168, Italy",
NCT04493476,Using a Herbal Remedy Extract for the Treatment of Endometriosis Symptoms,https://clinicaltrials.gov/study/NCT04493476,,UNKNOWN,"A prospective, double-blind, placebo-controlled trial examining the effect of Chinese herbal medicine combined with curcumin defined as a dietary supplement on a study group of women with endometriosis, compared to control group.

research product:Chinese herbal extract and curcumin extract, which appear as nutritional supplements in the Ministry of Health database, the research product is packed in 800mg capsules.

Intended use: Composition of 14 different nutritional supplements, in Chinese herbal formula, for the treatment of endometriosis and its symptoms. The formula is formulated according to Chinese medicine principles and aims to reduce inflammation of the pelvic organs and reduce the levels of pain caused by endometriosis disease.

Objectives:Examine the Effect of Using Nutritional Supplements on Symptoms in Patients with Targeted Endometriosis Symptoms.

Primary Endpoints:

Benefit of pain in women suffering from symptoms of endometriosis patients taking herbal extract for 4 months of treatment.

Structure of the study:A prospective, double-blind, double-blind, placebo-controlled (randomized) placebo-controlled trial involving women suffering from endometriosis symptoms and meeting the inclusion and exclusion criteria and who agreed to participate in the study. The women will be randomly divided into the following two arms:

1. Study Group - Taking a daily dose of dietary supplement extract capsules
2. Control group - take a daily dose of Invo capsules Treatment efficacy will be measured according to a dedicated patient questionnaire with endometriosis symptoms that assess quality of life measures.

The study population will include 60 symptomatic women treated at the Multidisciplinary Center for Endometriosis Therapy at Lynn Medical Center.",NO,Endometriosis,DRUG: Chinese herbal formula,"Improvement in visual analogue scale pain scores in women with endometriosis symptoms treated with the herbal extract formula, Improvement will be measured by statistically significant visual analogue scale score differences collected by daily patient questionnaires, 6 months","Improvement in quality of life followiing treatment with the herbal extract formula, Statistically significant changes in QOL questionnaire scores and decrease in use of analgesics, 6 months",,Carmel Medical Center,,FEMALE,ADULT,PHASE2,60,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",0206-19COM2,2020-10-01,2022-05-01,2022-12-01,2020-07-30,,2020-07-30,,
NCT05362838,Conventional Laparoscopy Versus Robotic Surgery for Pain Relief in Patients With Deep Infiltrating Endometriosis,https://clinicaltrials.gov/study/NCT05362838,,UNKNOWN,"Background: Endometriosis is a common disease, affecting women in their reproductive age suffering from infertility, adnexal masses and chronic pelvic pain, obstruction of the bowel or urinary tract. Deeply infiltrating endometriosis (DIE) is defined as a solid endometriosis mass situated more than 5 mm deep to the peritoneum. These lesions are considered very active and are strongly associated with pelvic pain symptoms.

Surgery is recommended in women with pain resistant to medical therapy and in women with contraindications to or refusal of medical therapy. Further indications for surgical treatment are the need of excluding malignancy in an adnexal mass, obstruction of the bowel or urinary tract. It is hypothesized that in patients with lesions in complex anatomic sites, a robot-assisted approach may provide improved instrument articulation compared with conventional laparoscopy, but no data are available.

Aims: The aim of this study is to perform a pilot study investigating differences between robot-assisted laparoscopy compared to conventional laparoscopy regarding subjective symptom outcome, evaluated by VAS score for non-menstrual pelvic pain and dysmenorrhea.

Study population: The study population will consist of women aged between 18 and 51 years who are referred to our gynecologic outpatient clinic due to symptomatic endometriosis. Women with suggested DIE and an indication for surgery can be included in this trial.

Methods: Laparoscopic-assisted resection of endometriosis will be performed using up to five 5-mm ports, including an umbilical port and additional ports as dictated by each individual surgery. The robotic-assisted resection of endometriosis will be performed using the da Vinci Surgical System Si (Intuitive Surgical) using up to five ports as needed. Superficial and deep endometriosis resection will be performed in the usual standard fashion. Histological confirmation of endometriosis will be performed. The primary outcome is subjective symptom improvement. This will be evaluated by visual analog scale (VAS) for dysmenorrhea and non-menstrual pelvic pain on a daily basis for at least 1 calendar month before the operation to obtain adequate baseline measurements. This evaluation will be repeated 3 and 6 months after surgery.",NO,Endometriosis|Endometriosis-related Pain|Endometriosis Pelvic,PROCEDURE: robotic-assisted laparoscopy|PROCEDURE: Conventional laparoscopy,"Change in Visual analog scale (VAS) from baseline to 3 and 6 months after the operation, Patients will be asked to complete a VAS for dysmenorrhea and non-menstrual pelvic pain on a daily basis for at least 1 calendar month at baseline and after 3 months and after 6 months following the operation. For VAS score we will calculate the mean of the 5 days/months with the highest VAS score. Patients will be asked to write down their VAS score before taking pain medication., 6 months after the operation|Pain medication, Medication being taken for endometriosis-associated pain will be assessed in this daily questionnaire (type of medication and dosage)., 6 months after the operation|Menstrual bleeding, Menstrual bleeding will be assessed in this daily questionnaire (yes versus no)., 6 months after the operation|Patients' Global Impression of Change (PGIC), PGIC will be used to calculate the rate of responders 3 and 6 months after the operation, 6 months after the operation","Change in Biberoglu and Behrman (B&B) score from baseline to 3 and 6 months after the operation, postoperative B\&B score (3 and 6 months after the operation) compared to preoperative B\&B score, 6 months after the operation|rate of intraoperative adverse events, rate of intraoperative adverse events (bladder injury, bowel injury, ureteral obstruction, massive bleeding), 1 day|rate of postoperative adverse events, rate of postoperative adverse events related to surgery (classified using Clavien Dindo classification), 4 weeks|operation time, operation time in minutes, 1 day|length of hospitalization (following the operation), length of hospitalization in days, 2 weeks|blood loss, change of hemoglobin levels 24 hours after surgery, 1 day|laparotomic conversion rate, laparotomic conversion rate, 1 day|change of the Endometriosis Health Profile (EHP) EHP-30 from baseline to 3 and 6 months after the operation, questionnaires: the Endometriosis Health Profile (EHP) EHP-30 (preoperative versus 3 and 6 months after the operation), 6 months after the operation|10-point Likert scale for cosmetic satisfaction, questionnaires: 10-point Likert scale for cosmetic satisfaction 3 and 6 months after the operation, 6 months after the operation|Disease recurrence rate up to 12 months after surgery, Endometriosis recurrence can have different levels: symptoms recurrence based on patient history (VAS pain score ≥ 5), but no proof of recurrence by imaging and/or surgery; endometriosis recurrence based on non-invasive imaging in patients with or without symptoms; recurrence of histologically proven endometriosis: when the patient is re-operated, endometriosis is visually observed and confirmed histologically., 12 months after the operation",,Medical University of Vienna,,FEMALE,ADULT,NA,50,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,TIE pain robotic vs. LSK,2022-04-01,2023-12-31,2023-12-31,2022-05-05,,2022-06-08,"Medical University of Vienna, Department of Obstetrics and Gynecology, Vienna, 1090, Austria",
NCT03981991,Endometriosis and Quality of Life Assessed by EHP 30,https://clinicaltrials.gov/study/NCT03981991,ENDOLUS,UNKNOWN,"Assessment of the quality of life for patients suffering from isolated endometriosic lesion of utero-sacral ligaments diagnosed by MRI, before and after surgical treatment by using French version of Endometriosis Health Profile 30 (EHP 30).

This is prospective, non-controlled, non-randomized, monocentric, observational feasibility study.",NO,Endometriosis,,"Assess the quality of life of patients before and 3 months after laparoscopic treatment of isolated endometriosic lesions of uterosacral ligaments by French version of the EHP 30 questionnaire., Overall score and scores by subdomains of EHP 30 questionnaire preoperatively and at 3 months postoperatively., 3 months","Evolution of EHP 30 score (and its subdomains) preoperatively, and at 1, 3 and 6 months postoperatively., Overall score, and scores by subdomains, of EHP 30 questionnaire at 1, 3 and 6 months postoperatively., 1 , 3 and 6 months|Assess diagnostic performances of MRI for diagnosis of lesions of uterosacral ligaments by correlating MRI's results with those of laparoscopy., Uterosacral ligaments (yes / no) on MRI vs. laparoscopy., 1 month|Correlate, a posteriori, MRI results with findings of laparoscopy and EHP 30 score evolution, Uterosacral ligaments (yes / no) on MRI vs overall score of EHP 30 questionnaire preoperatively and at 3 months postoperatively., 3 months",,"University Hospital, Grenoble",,FEMALE,ADULT,,30,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,38RC19.130|2019-A01143-54,2019-07-31,2020-11,2021-06,2019-06-11,,2020-03-10,"University Hospital Grenoble, Grenoble, 38043, France",
NCT04144998,Central Sensitization and Outcome of Endometriosis Surgery,https://clinicaltrials.gov/study/NCT04144998,,COMPLETED,"This study will evaluate whether the degree of central sensitization as measured by the questionnaire ""central sensitization inventory CSI"" is related to the outcome of surgical endometriosis treatment",NO,Endometriosis,DIAGNOSTIC_TEST: central sensitization inventory (questionnaire),"endometriosis health profile EHP-30 pain subscale, Pain subscale of the questionnaire ""endometriosis health profile"" EHP-30, scale from 0-100, higher values indicate worse health status, 6 months","other subscales of the endometriosis health profile EHP-30, control and powerlessness scale, emotional well-being scale, social support scale, self-image scale, all scales from 0-100, higher values indicate worse health status, 6 months",,Benno Rehberg-Klug,,FEMALE,"ADULT, OLDER_ADULT",,71,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,EndoPROMPT,2019-10-01,2021-12-31,2022-06-13,2019-10-30,,2022-07-21,"Hôpitaux Universitaires de Genève, Geneva, 1211, Switzerland",
